apertado	tenso
compassivo	clemente/amável/humanitário/humano/brando
passado	antigo/velho/extrovertido
unido	coletivo/colectivo/solidário/integrado
abundante	rica/rico
utópico	aprimorado/perfeito
vário	heterogênea/heterogêneo/diferente
inapropriado	enfermo/doente/adoentado/doentio/insalubre/imcompleto/com_imperfeições
cauteloso	cuidadosa/cautelosa/prudente/atento
proteccionista	preventivo
consequente	racional/lógico
fecundo	potente/frutífero/proveitoso/fértil/produtor/produtivo
gradual	devagar/inclinado/lento
intrusivo	côncavo/oco
infernal	maléfico/mau/má/ruim/maléfica/malvado
sem_cuidado	descuidado/negligente
calculável	determinável
propício	rendoso/lucrativo/proveitoso/oportuno/cómodo/auspicioso/favorável/profícuo/vantajoso
penitente	envergonhado
maligno	prejudicial/nocivo/daninho/danoso
normal	ordinário/costumeiro/genérico/comum/geral/usual/habitual/mentalmente_são/são/sadio/mentalmente_sadio/sã/padrão
obediente	dócil/manipulável/complacente/submisso/tratável/bom/boa
mentalmente_sadio	racional
insubstancial	imaterial
crucial	essencial/decisivo/crítico
potente	fecundo/fértil/efetivo/eficaz/eficiente/poderoso
masculino	varonil/masculina/viril/varão/macho
fora_da_lei	corrupto/ilegal
exaustivo	largo/ampla/amplo/geral/completo/integral/totalizado
deprimido	abaixo/inferior/baixo
carinhoso	passional/amorável/empenhado
estrangeiro	internacional
tolerante	paciente/caridoso
específico	precisa/preciso/bem_acabado
alienígena	internacional
incolor	desinteressante/monótono/chato
arisco	horrível/antipático/ofensivo
coletivo	unido/solidário
vívido	alerta/energético/enérgico/vivo
desconsiderado	insensível
cândido	claro/crédulo
eficiente	útil/potente/poderoso/habilitado/competente/efetivo/eficaz
dinâmico	energético/enérgico
indolor	inofensivo/inócuo/que_não_causa_danos
responsivo	sensível
afortunado	privilegiado/sortuda/sortudo/próspero/bem-sucedido/bem_sucedido
judicioso	atento/sábio/prudente/cautelosa/cuidadosa/responsável
homogéneo	invariável/uniforme/mesmo/o_mesmo
sadio	racional
tênue	fino
subalterno	subordinada/subordinado
detalhado	largo/ampla/amplo/geral/completo/integral/totalizado
solidário	comum/unido/coletivo/colectivo/partilhado/integrado
bem-sucedido	afortunado/produtor/produtivo
significativo	significante/importante
casto	virtuoso/digno/nobre/moral/puro
prematuro	imaturo
jovem	júnior/imaturo/novo
rica	privilegiado/lauto/farto/bastante/basto/copioso/abundante
selvagem	desobediente/intratável/não_governável
conciso	taciturno
desencorajante	desesperado/falta_de_esperança
funcional	prestativo
cacofônico	ruidoso/barulhento
obvio	aberto
humorístico	aprazível
complacente	manipulável/obediente/tratável
excitada	inquieto
impossível	insuperável/inexorável/inviável/impraticável/falta_de_esperança/desesperado
com_imperfeições	avariado/danificado/ferido/doente/adoentado/doentio/insalubre/inapropriado/partido/quebrado
secular	profano/sofisticado
pouco_familiar	estranho/estrangeiro/desconhecido
próspero	afortunado/produtor/produtivo
anormal	insano
prematura	imaturo
destemido	audacioso/audaz/bravo/valoroso/valente/afoito/arrojado/brava/corajoso/sem_medo/aventureiro
completo	extenso/detalhado/amplo/abrangente/exaustivo/integral/inteiro
lindo	gracioso/atraente/aprazível
tenso	desassossegado/inquieto/apertado
quebrado	imperfeito/avariado/danificado/ferido/imcompleto/com_imperfeições
intenso	entranhado/profundo
gracioso	digno/bonito/formoso/lindo/belo/esbelto/garboso/airoso/elegante/grácil/mimoso/sofisticado
intrincado	árduo/difícil/foda/composto
crédulo	cândido
evidente	aberto
alto	grande/audível/ruidoso/barulhento
reto	virtuoso/nobre/decoroso/digno/inocente/moral/bom/boa/directo/perpendicular/fio_de_prumo/vertical
intensivo	entranhado/profundo
comovente	impressionante/emocional
meigo	brando
inativo	letárgico
danoso	maligno/ofensivo/desfavorável/ofensiva/desvantajoso/caluníe/nocivo/destrutivo/árduo/dolorido/doloroso/extenuante/doído/tóxico
indigno	inútil/desprezível/desonroso/imoral
traseiro	de_trás/posterior/rabo
pessimista	falta_de_esperança/desesperado
reservado	taciturno
cedo	primeiro
amistoso	congenial/amigável/útil/social/cálido/sociável
mimoso	civilizado/gracioso/esbelto/garboso/airoso/elegante/detalhista/exigente
nobre	recto/moral/piedoso/boa/eqüitativo/religioso/justo/bom/reto/casta/casto/honrado
discontente	infeliz/triste
decoroso	reto/justo/eqüitativo/recto/bom/boa/precioso/valioso/honrado
recto	virtuoso/nobre/decoroso/digno/inocente/moral/bom/boa
covardemente	timorato/receoso
deteriorado	avariado/danificado/ferido
paralelo	simétrico/comparável
acídulo	saboroso
atraente	bonito/formoso/lindo/belo/aprazível
avariado	lesionado/atingido/deteriorado/destruído/ferido/partido/quebrado
privado	esotérico/pessoal
patriótico	fiel/leal
indemne	digno_de_confiança/intato/seguro/indene
insuficiente	escasso
presumido	insípido
comestível	digerível/tenro/macio
resignado	paciente
habilitado	eficiente/qualificado/talentoso/capaz/habilidoso
fracionário	incompleto
abreviado	curto
imaterial	insubstancial/insustancial
crítico	erudito/desfavorável/sarcástico/essencial/decisivo/importante/crucial
daninho	maligno/ofensivo/desfavorável/ofensiva/desvantajoso/caluníe/nocivo/destrutivo/árduo/dolorido/doloroso/extenuante/doído/tóxico
varonil	macho/masculina/masculino
ditoso	feliz/contente
lerdo	retardado/imbecil/idiota/estúpido/sonso
errado	incorreto/desonroso/falso
brando	tenro/meigo
primeiro	original/dianteiro/temporão/precoce/cedo/primário
cautelosa	judicioso/sensato/cauto/cauteloso/atento/prudente/diligente
canhoto	esquerdo
hesitante	perplexo
inocente	reto/justo/eqüitativo/recto
contente	satisfeito/animador/animado/ditoso/eufórico/feliz/grato/alegre
súbito	rápido/rápida/veloz
sortuda	afortunado
exigente	Limpo/grácil/mimoso
inclinado	oblíquo/gradual
divergente	oblíquo
retórico	figurativo
repentina	rápido/rápida/veloz
puro	casta/casto
que_não_causa_danos	indolor/benigno/inócuo/seguro
inconsciente	involuntária/adormecido
conotativo	implícito
incorrecto	não_ético/injusto/imoral/maléfico/mau/má/ruim/maléfica/malvado/malvada/iniquo
eriçado	sujo/suja/sujado
livre	independente
incônscio	involuntária/adormecido
serviçal	prestável/útil/cooperativo/encorajador
pontudo	afiado/angular/angulado
tenaz	consciente
esquerdo	canhoto
honrado	sincera/honesta/honesto/sincero/decoroso/digno/moral/nobre
esquerdista	liberal/socialista
atento	cuidadosa/cautelosa/judicioso/sensato/cauto/cauteloso/prudente/diligente
cómodo	favorável/profícuo/vantajoso/propício
adormecido	desfalecido/esmaecido/desmaiado/inconsciente/incônscio/desacordado
tangível	concreto
ceremonioso	corriqueiro/convencional/formal
extenso	largo/ampla/amplo/geral/completo/integral/totalizado
amigável	congenial/útil/social/cálido/sociável/amigo/amistoso/pacífico/amorável
sistémico	organizado/regular
idêntico	comparável/mesmo/o_mesmo
efetivo	útil/potente/eficaz/poderoso/eficiente
elegível	qualificado
lícito	correto/legal
fio_de_prumo	reto/íngrime/íngreme
acreditável	plausível
impraticável	impossível
geral	extenso/detalhado/amplo/abrangente/exaustivo/impreciso/comum
sólido	dificil/dura/duro
barulhento	cacofônico/estrepitante/alta/berrante/alto
colorido	cromático
sangüíneo	imisericordioso/impiedoso
superior	melhor
intrínseca	inalienável/essencial
tagarela	comunicativo/prolixo
gentil	amável/simpático/agradável
mortal	limitado/finito
sensível	consciente/suscetível/susceptível/responsivo/ciente/informado
infreqüente	raro/casual/esporádico
atro	escuro
maduro	velho
desfalecido	involuntária/adormecido
manipulável	obediente/complacente/submisso/tratável
tolo	desaconselhável/imprudente
incompleto	parcial/fracionário
ágil	astuto
fútil	superficial
inesperado	surpreendente
submisso	manipulável/obediente/tratável
decisivo	conclusivo/crítico/importante/crucial
incompetente	ineficiente
letárgico	inativo
desejável	amorável
copioso	rica/rico
incorrigível	desobediente
benfeitor	amável
assertivo	agressivo
Fenômenos_paranormais	afetado/antinatural/paranormal
desgastado	antigo/velho
consciente	sensível/acordado/voluntário/informado/ciente/desperto
conveniente	apropriado/correto/justo/certo/acessível
bem	são/salubre/saudável/em_forma
alta	audível/ruidoso/barulhento
