muito	numeroso
outro	oposto/díspar/diferente
dois	cardinal/cardeal
grande	importante/astronômico/extraordinário/titânico/considerável/épico/massudo/massivo/maior/colossal/tremendo/cósmico/descomunal/elefantino/extenso/volumoso/imenso/galáctico/gigantesco/enorme/grosso/heróico/vasto/amplo/alta/berrante/alto
primeiro	original/ordinal/arquetípico/inicial/principal/primeira
mesmo	equivalente/sinótico/correspondente/idêntico/comparável
novo	original/temporão/passado/virgem/revolucionário/recente/cedo
segundo	ordinal
público	nacional/comum/estadual/estatal
bom	afortunado/próprio/respeitável/cómodo/intelectual/favorável/reto/angelical/satisfatório/magnífico/sólido/beatificação/oportuno/aceitável/angélico/adequado/conveniente/profícuo/vantajoso/propício/justo/recto
último	passado/improvável/corrente/pior/actual/atual
mil	cardinal/cardeal
bem	assintomático/satisfatório
próximo	vizinho/confidencial/futuro/querido/envolvente/circundante/íntimo/aproximado/acalorado/imediato/apenso/contíguo/familiar/adjacente/quente/iminente/calmoso/junto/perto
próprio	pessoal/específico/bom/decoroso/vitoriano/conveniente/adequado/apropriado
passado	recente/vetusto/histórico/pré-histórico/anterior/antigo/último/medieval/novo/prévio
final	definitivo
pequeno	microscópico/jovem/reduzido/moderado/inferior/menor/minúsculo/pequenito/esguio/anão/diminuto/pequenino
nacional	público/federal
meio	parcial/fracionário
responsável	refutável/sujeito/fidedigno
partido	incompleto
alto	ensurdecedor/graduado/magestoso/derradeiro/empinado/acima/grande/vocal/avançado/capitanear/superior/eminente/elevado
único	individual/incomparável/inusual/desacompanhado/insólito/extraordinário/estranho
social	amistoso/sociável/gregário/amigável/étnico/amigo/cultural/etnia
direito	reto/serviçal/prestável/justo/recto
principal	essencial/importante/primeiro
possível	matemático/latente/eventual/atingível/praticável/factível/viável/maneável/executável/manejável/exeqüível/alcançável/realizável
actual	chique/corrente/real/contemporâneo/hodierno/último/moderno/vigente/online/atual
cinco	cardinal/cardeal
futuro	iminente/emergente/próximo
