ano	tempo/período/etapa
meio	ponto/região/ambiente
lugar	ponto/estado/local/posição/espaço/campo/estabelecimento/ocupação/objeto
vida	tempo/pessoa/modo/período/necessidade/experiência/existência/motivo/organismo/indivíduo/etapa/alma/motivação
momento	tempo/medida/período/época/etapa/ocasião/quantidade/intervalo/instante
zona	local/área/região/espaço
valor	medida/importância/duração
posição	situação/ponto/estado/lugar/local/relação/condição/papel/opinião/terreno/função/atitude/emprego/posto/ocupação/localização/colocação/postura/ofício
futuro	tempo
prova	informação/operação/experiência/teste/exame/experimento
razão	causa/livro/motivo/explicação/faculdade
espaço	lugar/área/característica/extensão/localização/atributo
centro	ponto/lugar/local/região/edifício/prédio
sentido	ponto/ideia/pensamento/significado/faculdade/significação/idéia
organização	grupo/início/administração/comunidade/gestão/disposição/começo/atividade
segurança	pessoa/situação/condição/garantia/característica/firmeza
estrangeiro	pessoa/viajante
princípio	momento/acontecimento/norma/evento/ocorrência/instante
necessidade	situação/coisa/condição/requisito/pré-requisito
oficial	militar
época	tempo/momento/período/etapa
autoridade	poder/pessoa/livro/indivíduo
edição	grupo/número/publicação/impressão/agrupação
século	tempo/espaço/período/etapa/duração
matéria	substância/pus
vítima	pessoa/indivíduo
estratégia	ciência
liberdade	poder/estado/direito/condição/imunidade/personificação
sequência	série/repetição/trecho/ordenação
prática	saber/aplicação/utilização/uso/preparação
jornada	tempo/período/viagem/etapa/marcha
presidência	tempo/lugar/posição/função/cargo
idade	número/período/época
estatuto	lei/regra/norma/regulamento
índice	relação/lista/elenco
personagem	pessoa/adulto
marca	nome/sinal/símbolo/indicação/indício/nódoa
posto	lugar/local/estação/alojamento
respeito	ponto/honra
volume	espaço/medida/livro/quantidade/extensão/magnitude
memória	unidade/faculdade
domínio	situação/direito/região/condição/ambiente/autorização/esfera
perspectiva	aspecto/pintura/orientação
igual	pessoa/indivíduo
perigo	situação/condição/causa
confiança	segurança/esperança/certeza/convicção/dependência/crença
pergunta	questão/pedido/frase/oração
grau	estado/medida/título/unidade/classe/hierarquia
liga	organização/sociedade/associação/mistura
par	pessoa/jogo/peça/indivíduo/nobre/macho/fêmea
