novo	velho/idoso/entradote
público	privado
próprio	impróprio/indevido
pequeno	grande/largo
responsável	irresponsável
possível	impossível
certo	incerto/incorreto
necessário	desnecessário/escusado/inecessário
presente	futuro/ausente
verdadeiro	possível/falso/potencial
interno	exterior/externo
fácil	difícil/duro/complicado/custoso/dificultoso
igual	diferente/desigual
disponível	indisponível
legal	ilegal
semelhante	desigual/dessemelhante/dissemelhante
favorável	desfavorável/desvantajoso
largo	estreito/apertado
completo	incompleto
provável	improvável
visível	invisível
rico	pobre
justo	injusto
útil	vão/inútil
dependente	independente
perfeito	imperfeito/desprimoroso
parcial	imparcial
legítimo	ilegítimo/falsificado
digno	indigno
consciente	inconsciente
válido	nulo/inválido
competente	incapaz/incompetente
artificial	natural/inartificial
pior	melhor
fechado	claro/aberto
compatível	incompatível
limpo	sujo/imundo
oportuno	impróprio/inoportuno
culpado	inocente
comparável	diferente/incomparável
leal	desleal
flexível	inflexível/imaleável
vulnerável	invulnerável
vertical	horizontal/inclinado
instável	firme/estável
invariável	variável
admissível	inadmissível
decente	indecente
lícito	ilícito
imortal	mortal
