novo	entradote/idoso/velho
público	privado
próprio	indevido/impróprio
pequeno	largo/grande
responsável	irresponsável
possível	impossível
certo	incerto/incorreto
necessário	escusado/desnecessário/inecessário
presente	futuro/ausente
verdadeiro	potencial/falso/possível
interno	externo/exterior
fácil	duro/custoso/dificultoso/complicado/difícil
igual	desigual/diferente
disponível	indisponível
legal	ilegal
semelhante	desigual/dessemelhante/dissemelhante
favorável	desfavorável/desvantajoso
largo	estreito/apertado
completo	incompleto
provável	improvável
visível	invisível
rico	pobre
justo	injusto
útil	vão/inútil
dependente	independente
perfeito	desprimoroso/imperfeito
parcial	imparcial
legítimo	ilegítimo/falsificado
digno	indigno
consciente	inconsciente
válido	inválido/nulo
competente	incapaz/incompetente
artificial	natural/inartificial
pior	melhor
fechado	claro/aberto
compatível	incompatível
limpo	sujo/imundo
oportuno	inoportuno/impróprio
culpado	inocente
comparável	incomparável/diferente
leal	desleal
flexível	imaleável/inflexível
vulnerável	invulnerável
vertical	horizontal/inclinado
instável	firme/estável
invariável	variável
admissível	inadmissível
decente	indecente
lícito	ilícito
imortal	mortal
