passar	obediencial/passadeira/ferro
abrir	puxador/quadratim/postemão/broca/chave/botão/espátula/vazador
marcar	carimbo/suta/cunho/marcador
escrever	ambotraço/lapiseira/aparo/escrivaninha/musicógrafo/papiro/tinta/caracter/porta-penas/caneta/carteira/giz/pena/lápis/papel
andar	dromomania/passo/passada
apontar	ponteiro
subir	degrau/escada/peconha
lembrar	nota
definir	definição
eleger	voto
verificar	tipómetro/nível
fechar	ferrolho/mate/cravelho/lacre/tranca
bater	batedeira/martelo/aldraba/açoute
votar	voto
levantar	guindaste
tirar	levadoura/gadanha/argau/caço/garabano/fogaleira/ferra/cabaço/ferrelha/garabanho/fateixa/concho/caldeiro/batelo/hialógrafo
prender	clipe/grampo/travinca/corda/ajoujo/algema/presilha/cabresto/libambo
cobrir	cobertura/cobertor/coberta/calçado/alcorça
apanhar	mosqueiro/tapagem/garavato/bogueiro/cambão/ratoeira/taralhoeira/corrupixel/gangorra
prejudicar	conluio
designar	nome
comer	patuscada/fiambre/galula/comida/pipoca
casar	noiva/noivo
aderir	cola
desenhar	lapiseira/caneta/linha/lápis/sombra
dormir	camisa/camisola/deita/sonolência/maqueira/pijama/cama
fabricar	geleira
exprimir	gesto/assemia
traçar	traço/graminho/suta/compasso/régua
apertar	cinta/apertadeira/botão/grampa
limpar	lanada/escova/esponja
imprimir	tinta/pressão/imprensa/impressora
enganar	pandilha/sorrelfa/lábia/falcatrua
voar	asa
fumar	cigarro/fumo/boquilha/xerume/mortalha/charuto/cachimbo/tabaco
lavar	sabão/pia/alguidar/autoclismo
navegar	submarino/gôndola
aquecer	aquecedor/fogareiro/caldeira/fogão/lareira
pescar	anzol/covo
furar	pua
pendurar	espeteira
cozinhar	fogo/fogareiro/panela/fogão/caldeiro
enfiar	agulheta
lavrar	gorjeta/buril/escopro
atar	atilho/vime/fita
suspirar	suspiro
embrulhar	cartucho/papel
içar	candeliça/adriça/amante/balso
assobiar	assobio
estampa	imprensa
