ano	etapa/tempo/período
meio	ponto/ambiente/região
lugar	estado/ponto/espaço/posição/estabelecimento/objeto/ocupação/local/campo
vida	motivo/motivação/necessidade/pessoa/organismo/etapa/indivíduo/tempo/período/experiência/alma/existência/modo
momento	época/instante/medida/intervalo/etapa/tempo/período/quantidade/ocasião
zona	espaço/área/região/local
valor	medida/importância/duração
posição	colocação/função/estado/opinião/lugar/ofício/relação/postura/ocupação/situação/local/posto/ponto/atitude/emprego/condição/terreno/papel/localização
futuro	tempo
prova	exame/teste/informação/experimento/operação/experiência
razão	motivo/causa/livro/explicação/faculdade
espaço	extensão/área/lugar/atributo/localização/característica
centro	prédio/ponto/edifício/lugar/região/local
sentido	significado/significação/ideia/ponto/faculdade/pensamento/idéia
organização	atividade/gestão/começo/disposição/grupo/administração/início/comunidade
segurança	pessoa/firmeza/condição/situação/garantia/característica
estrangeiro	pessoa/viajante
princípio	instante/evento/acontecimento/norma/ocorrência/momento
necessidade	requisito/coisa/condição/situação/pré-requisito
oficial	militar
época	etapa/tempo/período/momento
autoridade	pessoa/livro/indivíduo/poder
edição	publicação/impressão/agrupação/grupo/número
século	espaço/etapa/tempo/período/duração
matéria	substância/pus
vítima	pessoa/indivíduo
estratégia	ciência
liberdade	estado/personificação/poder/imunidade/condição/direito
sequência	ordenação/série/trecho/repetição
prática	uso/saber/utilização/preparação/aplicação
jornada	viagem/marcha/etapa/tempo/período
presidência	função/posição/lugar/tempo/cargo
idade	época/número/período
estatuto	regulamento/lei/regra/norma
índice	lista/elenco/relação
personagem	pessoa/adulto
marca	símbolo/sinal/indício/indicação/nome/nódoa
posto	lugar/alojamento/estação/local
respeito	ponto/honra
volume	extensão/medida/livro/espaço/magnitude/quantidade
memória	unidade/faculdade
domínio	esfera/autorização/ambiente/região/condição/direito/situação
perspectiva	aspecto/orientação/pintura
igual	pessoa/indivíduo
perigo	causa/condição/situação
confiança	dependência/certeza/crença/segurança/esperança/convicção
pergunta	questão/frase/pedido/oração
grau	estado/classe/medida/título/unidade/hierarquia
liga	sociedade/associação/mistura/organização
par	pessoa/nobre/indivíduo/macho/peça/jogo/fêmea
