ano	década
dia	semana
segundo	minuto
governo	navegação
tempo	ano
parte	todo/par/flora/planta/unidade/colher
mês	ano
ponto	espaço
processo	julgamento
semana	mês
lugar	espaço
hora	dia
número	unidade
noite	dia
lei	jurisprudência/teoria
maioria	maturidade
água	argamassa/superfície
organização	regime/governo
música	belas-artes
membro	frase/período
televisão	tevê
fundo	caverna/gruta/oca
morte	vida
termo	proposição/binómio
período	era
base	estrutura/edifício/coluna/construção
mão	corpo/braço/homem/humano
linha	carta
face	homem/humano/cabeça
possibilidade	teoria
época	vida/período
campo	estádio
administração	regime/governo
texto	publicação
terra	mundo
século	milênio/milénio
entrada	bolo
minuto	hora/grau
andar	prédio/edifício
acesso	muro/parede
conferência	curso
rede	barca-volante
hipótese	teoria
manhã	jornada/dia
sala	casa/prédio/domicílio/edifício/habitação/hospital/lar/moradia/residência/morada
responsabilidade	caráter
porta	acesso/muro/parede
peça	todo/veiro/máquina/biquíni
corpo	pessoa/homem/vestuário/indivíduo/sissomo/humano
carta	correspondência/atlas
