ser	célula/rosto/cabeça
ano	mês/tempo/estação
todo	porção/segmento/ramo/seção/quartel/fragmento/fração/parte/peça
dia	jornada/hora/manhã/noite
país	domínio
conto	conclusão
governo	administração/organização
pessoa	corpo/carne/personalidade
mês	semana
semana	dia
hora	minuto
homem	cabelo/lombo/face/corpo/cara/braço/mão/rosto/carne
vida	época/idade/nascimento/morte
coisa	retalho
programa	instrução
casa	gabinete/biblioteca/habitação/sala/cozinha/salão/dormitório
mundo	atmosfera/ar/hemisfério/terra/solo/céu/chão
noite	meia-noite/crepúsculo
história	conclusão
câmara	diafragma
sistema	hierarquia
lei	edicto
guerra	batalha/combate/luta/agressão
espaço	ponto/lugar/céu/localização
água	oxigénio/hidrogénio
construção	alicerce/bossagem/pintura/base
escola	classe
organização	hierarquia
televisão	som/tv/tevê/televisor/vídeo
período	época/prótase/membro/apódose
mão	dedo/palma/metacarpo
futebol	metade
documento	preâmbulo/cláusula/artigo
jornal	editorial/manchete/notícia/coluna
palavra	sílaba
face	olho/barba/traço/boca/bochecha/óculo/olfato/sobrancelha/nariz/queixo
metro	decímetro
administração	fisco/hierarquia
texto	passagem/parágrafo/capítulo
terra	atmosfera/hemisfério/ar/costa/solo/céu/domínio/chão
século	década
escudo	centavo
regime	administração/organização
minuto	segundo
humano	cabelo/lombo/face/corpo/braço/cara/mão/rosto/carne
acesso	umbral/limiar/porta
sala	piso/assoalho/muro/teto/parede/chão
estrutura	alicerce/pé/base
curso	lição/conferência
porta	umbral/limiar/coiceira
