ano	período/tempo/etapa
meio	ponto/ambiente/região
lugar	espaço/posição/ponto/local/objeto/estado/campo/estabelecimento/ocupação
vida	período/tempo/motivo/modo/pessoa/existência/organismo/etapa/motivação/indivíduo/necessidade/experiência/alma
momento	tempo/quantidade/intervalo/instante/medida/etapa/ocasião/período/época
zona	região/área/local/espaço
valor	duração/importância/medida
posição	lugar/postura/opinião/ponto/estado/ocupação/condição/situação/papel/ofício/atitude/terreno/colocação/localização/emprego/posto/local/relação/função
futuro	tempo
prova	exame/operação/experiência/teste/informação/experimento
razão	faculdade/causa/livro/motivo/explicação
espaço	extensão/lugar/área/atributo/localização/característica
centro	ponto/lugar/local/região/prédio/edifício
sentido	faculdade/significação/pensamento/ideia/ponto/idéia/significado
organização	disposição/gestão/grupo/atividade/comunidade/administração/início/começo
segurança	condição/garantia/situação/firmeza/característica/pessoa
estrangeiro	pessoa/viajante
princípio	momento/norma/acontecimento/instante/ocorrência/evento
necessidade	coisa/condição/situação/requisito/pré-requisito
oficial	militar
época	período/etapa/tempo/momento
autoridade	pessoa/livro/indivíduo/poder
edição	publicação/impressão/agrupação/número/grupo
século	período/tempo/espaço/etapa/duração
matéria	substância/pus
vítima	pessoa/indivíduo
estratégia	ciência
liberdade	condição/poder/imunidade/estado/personificação/direito
sequência	série/trecho/repetição/ordenação
prática	aplicação/uso/preparação/saber/utilização
jornada	viagem/período/tempo/etapa/marcha
presidência	cargo/função/lugar/posição/tempo
idade	época/número/período
estatuto	norma/regra/regulamento/lei
índice	lista/relação/elenco
personagem	pessoa/adulto
marca	sinal/símbolo/indício/indicação/nódoa/nome
posto	lugar/local/alojamento/estação
respeito	ponto/honra
volume	livro/quantidade/medida/extensão/magnitude/espaço
memória	faculdade/unidade
domínio	esfera/região/situação/condição/direito/ambiente/autorização
perspectiva	aspecto/orientação/pintura
igual	pessoa/indivíduo
perigo	situação/condição/causa
confiança	segurança/convicção/dependência/certeza/esperança/crença
pergunta	questão/frase/oração/pedido
grau	unidade/título/hierarquia/estado/medida/classe
liga	mistura/sociedade/organização/associação
par	pessoa/indivíduo/macho/jogo/fêmea/nobre/peça
