novo	velho/idoso/entradote
público	privado
próprio	impróprio/indevido
pequeno	grande/largo
responsável	irresponsável
possível	impossível
certo	incerto/incorreto
necessário	desnecessário/escusado/inecessário
presente	ausente/futuro
verdadeiro	falso/potencial/possível
interno	externo/exterior
fácil	difícil/complicado/duro/custoso/dificultoso
igual	desigual/diferente
disponível	indisponível
legal	ilegal
semelhante	dissemelhante/desigual/dessemelhante
favorável	desfavorável/desvantajoso
largo	estreito/apertado
completo	incompleto
provável	improvável
visível	invisível
rico	pobre
justo	injusto
útil	inútil/vão
dependente	independente
perfeito	imperfeito/desprimoroso
parcial	imparcial
legítimo	ilegítimo/falsificado
digno	indigno
consciente	inconsciente
válido	nulo/inválido
competente	incompetente/incapaz
artificial	natural/inartificial
pior	melhor
fechado	aberto/claro
compatível	incompatível
limpo	sujo/imundo
oportuno	inoportuno/impróprio
culpado	inocente
comparável	incomparável/diferente
leal	desleal
flexível	inflexível/imaleável
vulnerável	invulnerável
vertical	horizontal/inclinado
instável	estável/firme
invariável	variável
admissível	inadmissível
decente	indecente
lícito	ilícito
imortal	mortal
