passar	passadeira/obediencial/ferro
abrir	chave/botão/espátula/puxador/quadratim/postemão/broca/vazador
marcar	carimbo/cunho/suta/marcador
escrever	lápis/giz/escrivaninha/papel/aparo/pena/caracter/caneta/porta-penas/lapiseira/tinta/ambotraço/carteira/musicógrafo/papiro
andar	passo/passada/dromomania
apontar	ponteiro
subir	escada/peconha/degrau
lembrar	nota
definir	definição
eleger	voto
verificar	nível/tipómetro
fechar	ferrolho/lacre/cravelho/mate/tranca
bater	martelo/açoute/aldraba/batedeira
votar	voto
levantar	guindaste
tirar	concho/gadanha/ferra/ferrelha/cabaço/caldeiro/levadoura/garabano/fateixa/batelo/argau/caço/fogaleira/garabanho/hialógrafo
prender	algema/grampo/clipe/presilha/travinca/corda/libambo/cabresto/ajoujo
cobrir	cobertura/calçado/alcorça/coberta/cobertor
apanhar	mosqueiro/garavato/corrupixel/bogueiro/ratoeira/cambão/taralhoeira/gangorra/tapagem
prejudicar	conluio
designar	nome
comer	comida/fiambre/galula/patuscada/pipoca
casar	noivo/noiva
aderir	cola
desenhar	lápis/linha/lapiseira/sombra/caneta
dormir	camisola/pijama/maqueira/sonolência/camisa/deita/cama
fabricar	geleira
exprimir	assemia/gesto
traçar	traço/compasso/suta/régua/graminho
apertar	cinta/apertadeira/botão/grampa
limpar	escova/lanada/esponja
imprimir	imprensa/impressora/pressão/tinta
enganar	pandilha/falcatrua/sorrelfa/lábia
voar	asa
fumar	fumo/cigarro/charuto/xerume/cachimbo/tabaco/mortalha/boquilha
lavar	sabão/pia/alguidar/autoclismo
navegar	gôndola/submarino
aquecer	fogão/caldeira/fogareiro/aquecedor/lareira
pescar	anzol/covo
furar	pua
pendurar	espeteira
cozinhar	fogão/fogareiro/caldeiro/panela/fogo
enfiar	agulheta
lavrar	escopro/gorjeta/buril
atar	atilho/vime/fita
suspirar	suspiro
embrulhar	papel/cartucho
içar	adriça/amante/balso/candeliça
assobiar	assobio
estampa	imprensa
