ponto	coser
nome	designar
nível	verificar
papel	escrever/embrulhar
imprensa	imprimir/estampa
voto	votar/eleger
pena	escrever
passo	andar
fogo	caldear/queimar/cozinhar
nota	lembrar
definição	definir
cobertura	cobrir
chave	abrir
comida	comer
traço	traçar
camisola	dormir
fumo	fumar
escada	subir
cigarro	fumar
asa	voar
raciocínio	inferir
martelo	bater
impressora	imprimir
passadeira	passar
noivo	casar
moldura	guarnecer
assobio	assobiar
lápis	escrever/desenhar
carimbo	marcar
compasso	traçar
cola	aderir
cunho	marcar
suspiro	suspirar
fogão	cozinhar/aquecer
charuto	fumar
cinta	apertar/cingir
sabão	lavar/desengordurar
foice	ceifar/segar
parafuso	parafusar
ponteiro	apontar
conluio	prejudicar
lixa	polir
escova	limpar/escovar
pijama	dormir
freio	frear
guindaste	levantar
algema	prender
anzol	pescar
fiambre	comer
giz	escrever/riscar
