ano	década
dia	semana
segundo	minuto
governo	navegação
tempo	ano
parte	todo/unidade/par/colher/planta/flora
mês	ano
ponto	espaço
processo	julgamento
semana	mês
lugar	espaço
hora	dia
número	unidade
noite	dia
lei	teoria/jurisprudência
maioria	maturidade
água	superfície/argamassa
organização	governo/regime
música	belas-artes
membro	período/frase
televisão	tevê
fundo	gruta/caverna/oca
morte	vida
termo	binómio/proposição
período	era
base	construção/estrutura/edifício/coluna
mão	homem/humano/corpo/braço
linha	carta
face	homem/humano/cabeça
possibilidade	teoria
época	vida/período
campo	estádio
administração	governo/regime
texto	publicação
terra	mundo
século	milénio/milênio
entrada	bolo
minuto	hora/grau
andar	edifício/prédio
acesso	parede/muro
conferência	curso
rede	barca-volante
hipótese	teoria
manhã	dia/jornada
sala	casa/edifício/hospital/habitação/residência/prédio/lar/morada/moradia/domicílio
responsabilidade	caráter
porta	acesso/parede/muro
peça	todo/máquina/biquíni/veiro
corpo	pessoa/homem/humano/indivíduo/vestuário/sissomo
carta	correspondência/atlas
