ser	cabeça/rosto/célula
ano	tempo/mês/estação
todo	parte/peça/ramo/segmento/quartel/fragmento/porção/seção/fração
dia	hora/noite/manhã/jornada
país	domínio
conto	conclusão
governo	organização/administração
pessoa	corpo/personalidade/carne
mês	semana
semana	dia
hora	minuto
homem	mão/face/corpo/braço/cara/carne/rosto/cabelo/lombo
vida	morte/época/idade/nascimento
coisa	retalho
programa	instrução
casa	sala/gabinete/habitação/biblioteca/salão/cozinha/dormitório
mundo	terra/ar/solo/céu/chão/atmosfera/hemisfério
noite	meia-noite/crepúsculo
história	conclusão
câmara	diafragma
sistema	hierarquia
lei	edicto
guerra	luta/combate/batalha/agressão
espaço	ponto/lugar/céu/localização
água	oxigénio/hidrogénio
construção	base/pintura/alicerce/bossagem
escola	classe
organização	hierarquia
televisão	som/vídeo/televisor/tv/tevê
período	membro/época/prótase/apódose
mão	dedo/palma/metacarpo
futebol	metade
documento	artigo/cláusula/preâmbulo
jornal	notícia/editorial/coluna/manchete
palavra	sílaba
face	olho/boca/traço/nariz/óculo/barba/queixo/sobrancelha/bochecha/olfato
metro	decímetro
administração	hierarquia/fisco
texto	passagem/capítulo/parágrafo
terra	ar/domínio/solo/céu/costa/chão/atmosfera/hemisfério
século	década
escudo	centavo
regime	organização/administração
minuto	segundo
humano	mão/face/corpo/braço/cara/carne/rosto/cabelo/lombo
acesso	porta/limiar/umbral
sala	parede/piso/chão/muro/assoalho/teto
estrutura	base/pé/alicerce
curso	conferência/lição
porta	limiar/umbral/coiceira
