aceitável inaceitável
consciente inconsciente
certo incerto
claro obscuro
confortável desconfortável
competitivo descompetitivo
consistente inconsistente
convincente inconvincente
conveniente inconveniente
decidido indeciso
eficiente ineficiente
ético antiético
afortunado infeliz
honesto desonesto
impressivo inexpressivo
informativo desinformativo
informado desinformado
conhecido desconhecido
provável improvável
lógico ilógico
agradável desagradável
possível impossível
possivelmente impossivelmente
produtivo improdutivo
racional irracional
responsável irresponsável
certo incerto
agradável desagradável
