programar programando
dançar dançando
depurar depurando
diminuir diminuindo
descrever descrevendo
descobrir descobrindo
melhorar melhorando
voar voando
gerar gerando
ir indo
implementar implementando
aumentar aumentando
inventar inventando
saltar saltando
ouvir ouvindo
ver vendo
mover movendo
jogar jogando
prever prevendo
ler lendo
correr correndo
dizer dizendo
gritar gritando
ver vendo
baralhar baralhando
cantar cantando
sentar sentando
lento abrandando
nadar nadando
pensar pensando
desaparecer desaparecendo
andar andando
escrever escrevendo
